City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Atuona,PF,-9.8,-139.03,80.6,71,58,12.62,broken clouds,0.0,0
1,Nikolskoye,RU,59.7,30.79,50.0,81,51,6.71,broken clouds,0.0,0
2,Dikson,RU,73.51,80.55,32.36,99,99,8.63,overcast clouds,0.0,0
3,Rikitea,PF,-23.12,-134.97,76.48,83,20,7.25,few clouds,0.0,0
4,Lolua,PF,-23.12,-134.97,76.48,83,20,7.25,few clouds,0.0,0
5,Kapaa,US,22.08,-159.32,80.6,69,1,12.75,clear sky,0.0,0
6,Port Hardy,CA,50.7,-127.42,59.0,77,75,11.41,broken clouds,0.0,0
7,Lavrentiya,RU,65.58,-171.0,33.75,92,97,6.15,overcast clouds,0.0,0
8,Sentyabrskiy,RU,65.58,-171.0,33.75,92,97,6.15,overcast clouds,0.0,0
9,Barentsburg,RU,65.58,-171.0,33.75,92,97,6.15,overcast clouds,0.0,0
10,Arraial Do Cabo,BR,-22.97,-42.03,69.78,80,36,11.72,scattered clouds,0.0,0
11,Hermanus,ZA,-34.42,19.23,62.01,95,100,5.99,moderate rain,1.87,0
12,Port Elizabeth,ZA,-33.92,25.57,66.2,63,100,14.99,overcast clouds,0.0,0
13,Longyearbyen,SJ,78.22,15.64,37.4,86,75,5.82,broken clouds,0.0,0
14,Los Llanos De Aridane,ES,28.66,-17.92,68.0,77,90,11.41,overcast clouds,0.0,0
15,Nizwa,OM,22.93,57.53,81.27,55,20,1.48,few clouds,0.0,0
16,Punta Arenas,CL,-53.15,-70.92,39.2,80,93,13.87,overcast clouds,0.0,0
17,Surgut,RU,61.25,73.42,55.4,100,40,8.95,scattered clouds,0.0,0
18,College,US,64.86,-147.8,69.01,34,75,5.82,broken clouds,0.0,0
19,Gornopravdinsk,RU,60.05,69.9,51.48,81,1,11.48,clear sky,0.0,0
20,Nuuk,GL,64.18,-51.72,33.8,80,99,9.17,light snow,0.0,0
21,Sur,OM,22.57,59.53,86.81,63,24,5.59,few clouds,0.0,0
22,Labuhan,ID,-6.88,112.21,78.58,87,100,9.91,overcast clouds,0.0,0
23,Ushuaia,AR,-54.8,-68.3,42.8,83,75,18.34,broken clouds,0.0,0
24,Chuy,UY,-33.7,-53.46,56.55,83,0,5.01,clear sky,0.0,0
25,Axim,GH,4.87,-2.24,80.42,86,100,6.71,light rain,0.32,0
26,Karratha,AU,-20.74,116.85,69.8,47,13,6.91,few clouds,0.0,0
27,Hilo,US,19.73,-155.09,82.4,51,90,9.17,overcast clouds,0.0,0
28,Rio Gallegos,AR,-51.62,-69.22,33.8,80,0,10.29,clear sky,0.0,0
29,Thompson,CA,55.74,-97.86,39.2,86,90,10.29,light intensity shower rain,0.0,0
30,Sulangan,PH,11.14,123.72,84.29,77,90,8.9,light rain,0.11,0
31,Albany,US,42.6,-73.97,75.0,73,92,10.6,overcast clouds,0.0,0
32,Padang,ID,-0.95,100.35,79.02,81,52,3.56,broken clouds,0.0,0
33,Zuenoula,CI,7.43,-6.04,74.5,93,100,6.11,moderate rain,1.12,0
34,Taolanaro,CI,7.43,-6.04,74.5,93,100,6.11,moderate rain,1.12,0
35,Cabo San Lucas,MX,22.89,-109.91,86.0,53,5,14.99,clear sky,0.0,0
36,Ondorhaan,MX,22.89,-109.91,86.0,53,5,14.99,clear sky,0.0,0
37,Saint Anthony,US,45.02,-93.22,75.2,27,1,14.99,clear sky,0.0,0
38,Olafsvik,IS,64.89,-23.71,47.75,95,100,16.82,moderate rain,1.24,0
39,Butaritari,KI,3.07,172.79,82.72,80,2,12.59,clear sky,0.0,0
40,Bolobo,CD,-2.17,16.23,74.62,84,97,1.74,light rain,0.16,0
41,Kendari,ID,-3.94,122.5,79.79,87,79,2.24,broken clouds,0.0,0
42,Sibolga,ID,1.74,98.78,79.47,72,100,2.77,overcast clouds,0.0,0
43,Tanjong Malim,ID,1.74,98.78,79.47,72,100,2.77,overcast clouds,0.0,0
44,Carroll,US,39.55,-77.02,75.0,95,91,1.01,light rain,0.31,0
45,New Norfolk,AU,-42.78,147.06,57.99,93,100,4.85,light rain,0.25,0
46,Bluff,NZ,-46.6,168.33,51.51,82,70,10.67,broken clouds,0.0,0
47,Tasiilaq,GL,65.61,-37.64,37.4,94,100,20.8,light intensity shower rain,0.0,0
48,Busselton,AU,-33.65,115.33,61.0,74,15,21.59,light rain,0.68,0
49,Aksarka,RU,66.56,67.8,47.23,88,100,18.5,light rain,0.21,0
50,Ada,US,43.42,-116.13,89.6,14,1,2.33,clear sky,0.0,0
51,Santa Cruz,BO,-17.8,-63.17,69.8,73,26,5.82,scattered clouds,0.0,0
52,Mullaitivu,BO,-17.8,-63.17,69.8,73,26,5.82,scattered clouds,0.0,0
53,Laurel,US,39.1,-76.85,77.0,88,90,4.7,overcast clouds,0.0,0
54,Hithadhoo,MV,-0.6,73.08,78.98,86,100,24.16,light rain,0.21,0
55,Altamira,BR,-3.2,-52.21,74.89,94,98,2.24,light rain,0.57,0
56,Iqaluit,CA,63.75,-68.51,26.6,73,90,12.75,overcast clouds,0.0,0
57,Torit,SS,4.41,32.57,71.44,86,90,3.31,light rain,0.11,0
58,Ishigaki,JP,24.34,124.16,82.4,94,40,8.05,scattered clouds,0.0,0
59,Hirado,JP,33.36,129.55,69.8,68,20,2.24,few clouds,0.0,0
60,Lasa,IT,46.62,10.7,44.6,81,20,6.93,few clouds,0.0,0
61,The Valley,AI,18.22,-63.06,84.2,74,20,6.93,few clouds,0.0,0
62,Tshikapa,CD,-6.42,20.8,74.55,62,52,1.86,broken clouds,0.0,0
63,Saint-Philippe,RE,-21.36,55.77,71.6,68,38,10.29,light rain,0.11,0
64,Saskylakh,RU,71.92,114.08,34.88,83,97,11.41,overcast clouds,0.0,0
65,Abay,KZ,49.63,72.85,35.6,46,0,4.47,clear sky,0.0,0
66,Ankang,CN,32.68,109.02,70.75,59,37,1.45,scattered clouds,0.0,0
67,Selma,US,36.57,-119.61,105.8,22,0,7.05,haze,0.0,0
68,Henties Bay,NA,-22.12,14.28,59.34,66,0,6.85,clear sky,0.0,0
69,Carnarvon,AU,-24.87,113.63,62.85,64,0,8.77,clear sky,0.0,0
70,Somogyvar,HU,46.58,17.66,55.4,66,87,16.11,overcast clouds,0.0,0
71,Mataura,NZ,-46.19,168.86,50.41,75,77,2.06,broken clouds,0.0,0
72,Jamestown,US,42.1,-79.24,73.0,78,40,5.82,scattered clouds,0.0,0
73,Hobart,AU,-42.88,147.33,59.0,76,75,9.17,broken clouds,0.0,0
74,Marawi,PH,8.0,124.29,82.0,76,45,1.99,scattered clouds,0.0,0
75,Torbay,CA,47.67,-52.73,55.99,93,75,16.11,broken clouds,0.0,0
76,Khatanga,RU,71.97,102.5,34.93,90,100,13.0,overcast clouds,0.0,0
77,Bodrum,TR,37.04,27.43,62.6,82,40,3.36,scattered clouds,0.0,0
78,Catamarca,AR,-28.47,-65.79,61.0,47,0,3.0,clear sky,0.0,0
79,Moose Factory,CA,51.26,-80.61,62.6,77,90,8.05,light rain,0.0,0
80,Provideniya,RU,64.38,-173.3,37.4,91,90,15.66,light rain,0.0,0
81,Afgoye,RU,64.38,-173.3,37.4,91,90,15.66,light rain,0.0,0
82,Upernavik,GL,72.79,-56.15,28.8,95,5,6.71,clear sky,0.0,0
83,Yellowknife,CA,62.46,-114.35,51.8,32,20,8.05,few clouds,0.0,0
84,Vanino,RU,49.09,140.25,56.66,67,66,5.19,broken clouds,0.0,0
85,Vychegodskiy,RU,61.25,46.9,46.62,87,3,4.97,clear sky,0.0,0
86,Attawapiskat,RU,61.25,46.9,46.62,87,3,4.97,clear sky,0.0,0
87,Clyde River,CA,70.47,-68.59,26.6,86,90,12.75,light snow,0.0,0
88,Tuktoyaktuk,CA,69.45,-133.04,59.0,38,20,8.05,few clouds,0.0,0
89,Gorokhovets,RU,56.19,42.7,51.8,87,20,2.24,few clouds,0.0,0
90,Lokosovo,RU,61.13,74.82,54.41,74,88,12.28,overcast clouds,0.0,0
91,Jussara,BR,-23.62,-52.47,53.28,74,0,2.68,clear sky,0.0,0
92,Illoqqortoormiut,BR,-23.62,-52.47,53.28,74,0,2.68,clear sky,0.0,0
93,Port Alfred,ZA,-33.59,26.89,64.0,61,92,18.54,overcast clouds,0.0,0
94,Vaini,TO,-21.2,-175.2,77.0,83,40,8.05,scattered clouds,0.0,0
95,Pevek,RU,69.7,170.31,36.55,81,10,23.89,clear sky,0.0,0
96,Beloha,MG,-25.17,45.05,63.01,97,15,3.85,few clouds,0.0,0
97,Dali,CN,25.7,100.18,56.35,80,60,0.54,broken clouds,0.0,0
98,Glendive,US,47.11,-104.71,70.0,34,1,18.34,clear sky,0.0,0
99,Sigli,ID,5.38,95.96,79.68,79,100,4.68,overcast clouds,0.0,0
100,Bredasdorp,ZA,-34.53,20.04,64.4,72,100,23.04,moderate rain,1.37,0
101,Oranjemund,NA,-28.55,16.43,56.62,74,6,9.71,clear sky,0.0,0
102,Barrow,US,71.29,-156.79,33.8,86,1,5.82,clear sky,0.0,0
103,Saint-Augustin,CA,51.23,-58.65,49.48,89,45,6.02,scattered clouds,0.0,0
104,Pangnirtung,CA,66.15,-65.71,21.78,91,88,2.01,overcast clouds,0.0,0
105,Victoria Point,AU,-27.58,153.3,73.99,72,54,7.0,light rain,0.12,0
106,Hofn,IS,64.25,-15.21,48.11,95,100,1.21,overcast clouds,0.0,0
107,Saint-Pierre,RE,-21.34,55.48,71.6,68,1,10.29,clear sky,0.0,0
108,Morehead,US,37.27,-87.18,80.6,83,40,7.02,scattered clouds,0.0,0
109,San Patricio,MX,19.22,-104.7,77.0,83,5,23.04,clear sky,0.0,0
110,Benjamin Constant,BR,-4.38,-70.03,78.8,94,40,0.36,scattered clouds,0.0,0
111,Kavaratti,IN,10.57,72.64,85.71,74,99,8.23,overcast clouds,0.0,0
112,Salalah,OM,17.02,54.09,78.8,100,75,2.24,moderate rain,0.0,0
113,Avarua,CK,-21.21,-159.78,80.6,88,56,14.99,broken clouds,0.0,0
114,Castro,BR,-24.79,-50.01,47.98,67,0,2.75,clear sky,0.0,0
115,Sitka,US,57.05,-135.33,60.8,51,90,12.75,overcast clouds,0.0,0
116,Meulaboh,ID,4.14,96.13,78.73,80,98,3.85,overcast clouds,0.0,0
117,Cozumel,MX,20.51,-86.95,84.2,79,75,10.29,broken clouds,0.0,0
118,Lola,GN,7.8,-8.53,72.32,96,100,4.29,moderate rain,2.22,0
119,Ilebo,CD,-4.32,20.58,74.12,77,60,1.1,broken clouds,0.0,0
120,Airai,TL,-8.93,125.41,65.17,95,100,3.49,overcast clouds,0.0,0
121,Hobyo,SO,5.35,48.53,82.47,76,63,20.62,broken clouds,0.0,0
122,Chokurdakh,RU,70.63,147.92,55.54,38,95,22.03,overcast clouds,0.0,0
123,Cherskiy,RU,68.75,161.3,53.83,41,4,14.38,clear sky,0.0,0
124,Emerald,AU,-23.53,148.17,69.01,42,0,17.22,clear sky,0.0,0
125,Ilhabela,BR,-23.78,-45.36,62.96,77,0,2.59,clear sky,0.0,0
126,Severo-Kurilsk,RU,50.68,156.12,38.03,93,100,16.78,light rain,0.33,0
127,Broken Hill,AU,-31.95,141.43,57.2,54,0,8.05,clear sky,0.0,0
128,Grand River South East,AU,-31.95,141.43,57.2,54,0,8.05,clear sky,0.0,0
129,Basirpur,PK,30.58,73.83,86.83,31,22,12.73,few clouds,0.0,0
130,Manado,ID,1.49,124.85,78.8,94,20,3.36,few clouds,0.0,0
131,Kallifitos,GR,41.17,24.22,57.99,82,86,5.73,overcast clouds,0.0,0
132,Lorengau,PG,-2.02,147.27,85.28,67,73,5.46,broken clouds,0.0,0
133,Nantucket,US,41.28,-70.1,63.0,87,90,9.17,overcast clouds,0.0,0
134,Lebu,CL,-37.62,-73.65,50.95,73,45,16.87,scattered clouds,0.0,0
135,Mar Del Plata,AR,-38.0,-57.56,55.99,87,97,9.17,overcast clouds,0.0,0
136,San Jose,US,37.34,-121.89,84.99,44,1,12.75,clear sky,0.0,0
137,Vygonichi,RU,53.1,34.07,56.26,95,100,11.32,overcast clouds,0.0,0
138,Oussouye,SN,12.48,-16.55,77.0,88,1,4.7,clear sky,0.0,0
139,Qaanaaq,GL,77.48,-69.36,28.74,91,59,0.6,broken clouds,0.0,0
140,Alofi,NU,-19.06,-169.92,84.2,70,75,5.82,broken clouds,0.0,0
141,Poum,NC,-20.23,164.02,76.89,79,0,13.0,clear sky,0.0,0
142,Koumac,NC,-20.57,164.28,79.14,65,0,3.38,clear sky,0.0,0
143,Mogadishu,SO,2.04,45.34,80.01,81,40,16.96,scattered clouds,0.0,0
144,Mackay,AU,-21.15,149.2,73.0,72,0,5.82,clear sky,0.0,0
145,Samusu,AU,-21.15,149.2,73.0,72,0,5.82,clear sky,0.0,0
146,Nanortalik,GL,60.14,-45.24,36.23,84,93,11.27,overcast clouds,0.0,0
147,Coquimbo,CL,-29.95,-71.34,59.0,72,75,3.36,broken clouds,0.0,0
148,Barawe,CL,-29.95,-71.34,59.0,72,75,3.36,broken clouds,0.0,0
149,Tubruq,CL,-29.95,-71.34,59.0,72,75,3.36,broken clouds,0.0,0
150,Norman Wells,CA,65.28,-126.83,62.6,27,20,11.41,few clouds,0.0,0
151,Snezhnogorsk,RU,69.19,33.25,35.6,93,43,2.24,scattered clouds,0.0,0
152,Harper,LR,4.38,-7.72,79.29,88,100,6.4,light rain,0.64,0
153,Cap Malheureux,MU,-19.98,57.61,75.0,80,0,5.01,clear sky,0.0,0
154,Tomatlan,MX,19.93,-105.25,80.64,60,0,9.89,clear sky,0.0,0
155,Catuday,PH,16.29,119.81,83.03,76,17,4.16,light rain,0.24,0
156,Pilar,BR,-9.6,-35.96,75.2,94,40,4.7,scattered clouds,0.0,0
157,Mongoumba,CF,3.64,18.59,72.77,95,90,2.26,overcast clouds,0.0,0
158,Belushya Guba,CF,3.64,18.59,72.77,95,90,2.26,overcast clouds,0.0,0
159,Kavieng,PG,-2.57,150.8,84.25,68,87,1.23,light rain,0.19,0
160,Palmer,US,42.16,-72.33,73.4,78,90,11.41,light rain,0.0,0
161,Yar-Sale,RU,66.83,70.83,46.71,84,100,23.55,light rain,0.58,0
162,Umzimvubu,RU,66.83,70.83,46.71,84,100,23.55,light rain,0.58,0
163,Katsuura,JP,35.13,140.3,72.0,68,40,4.7,scattered clouds,0.0,0
164,Cascas,PE,-7.48,-78.82,63.7,81,62,2.46,broken clouds,0.0,0
165,Talnakh,RU,69.49,88.4,37.4,86,75,2.24,broken clouds,0.0,0
166,Tsihombe,RU,69.49,88.4,37.4,86,75,2.24,broken clouds,0.0,0
167,Apen,DE,53.22,7.8,50.0,90,0,6.62,clear sky,0.0,0
