City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,62.38,clear sky,-24.79,-50.01,CHACARA BAILLY
2,Butaritari,KI,78.96,light rain,3.07,172.79,Isles Sunset Lodge
3,Manado,ID,75.2,scattered clouds,1.49,124.85,Aryaduta Hotel
5,Jacqueville,CI,80.6,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
6,Rikitea,PF,74.77,few clouds,-23.12,-134.97,Pension Maro'i
9,Cacu,BR,73.89,broken clouds,-18.56,-51.13,Império Hotel
10,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Ahuimanu,US,87.8,few clouds,21.44,-157.84,Paradise Bay Resort
19,Ribeira Grande,PT,66.2,broken clouds,38.52,-28.7,Quinta da Meia Eira
20,Mar Del Plata,AR,61.0,light intensity drizzle,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
22,Kapaa,US,84.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
23,Sentyabrskiy,US,84.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
24,Quang Ngai,VN,78.53,broken clouds,15.12,108.8,Central Hotel
25,Vila Velha,BR,77.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
27,Nikolskoye,RU,60.8,clear sky,59.7,30.79,Tourist House - Sablino
29,San Jose,US,71.6,light rain,37.34,-121.89,The Westin San Jose
31,Arraial Do Cabo,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
32,Illoqqortoormiut,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
35,Vikesa,NO,60.01,clear sky,58.64,6.09,Bjerkreim Camping Gjedrem
36,Barentsburg,NO,60.01,clear sky,58.64,6.09,Bjerkreim Camping Gjedrem
37,Mahebourg,MU,69.8,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
38,Luderitz,,66.2,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
40,Jamestown,US,62.01,scattered clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
42,Bethel,US,81.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
43,Vani,GE,60.8,scattered clouds,42.08,42.52,სასტუმრო ამირანი
45,Carnarvon,AU,62.46,scattered clouds,-24.87,113.63,Hospitality Carnarvon
46,Tefe,BR,86.0,scattered clouds,-3.35,-64.71,Aracati Hotel
47,Lorengau,PG,81.21,light rain,-2.02,147.27,Lorengau Harbourside Hotel
48,Bathsheba,BB,87.8,few clouds,13.22,-59.52,Atlantis Hotel
49,Belmonte,BR,71.6,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
50,Padang,ID,79.47,moderate rain,-0.95,100.35,Mercure Padang
51,Marion,US,73.0,broken clouds,39.77,-86.16,Hilton Indianapolis Hotel & Suites
52,Palmares Do Sul,BR,66.33,overcast clouds,-30.26,-50.51,Restaurante e Pensão Lopes
56,Muisne,EC,84.2,broken clouds,0.6,-80.03,Quinta Samay
57,Ponta Do Sol,PT,68.0,scattered clouds,32.67,-17.1,Hotel do Campo
58,Puerto Ayora,EC,87.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
59,Saint-Philippe,RE,69.8,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
61,Quatre Cocos,MU,71.01,few clouds,-20.21,57.76,Veranda Palmar Beach Hotel
62,College,US,75.99,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
65,Hithadhoo,MV,84.27,overcast clouds,-0.6,73.08,Scoop Guest House
68,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
70,Vila Franca Do Campo,PT,64.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
71,Grand River South East,PT,64.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
72,Chagda,PT,64.4,broken clouds,37.72,-25.43,Pestana Bahia Praia
76,Albany,US,79.0,clear sky,42.6,-73.97,
77,East London,ZA,62.47,overcast clouds,-33.02,27.91,Tu Casa
78,Palaiokhora,ZA,62.47,overcast clouds,-33.02,27.91,Tu Casa
79,San Patricio,MX,80.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
80,Santa Rosa,PH,82.99,few clouds,14.31,121.11,Hungry Soles Studios
81,Danjiangkou,CN,71.92,overcast clouds,32.54,111.51,Dongsheng Guesthouse
83,Barabai,ID,75.58,overcast clouds,-2.58,115.38,Joko Homestay
91,Nhulunbuy,AU,71.6,few clouds,-12.23,136.77,East Arnhem Real Estate
92,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
93,Raozan,MR,71.6,clear sky,20.93,-17.03,El Medina
95,Kavieng,PG,82.36,few clouds,-2.57,150.8,Nusa Island Retreat
98,Haines Junction,CA,60.48,light rain,60.75,-137.51,Parkside Inn
99,Pokaran,IN,81.68,light rain,26.92,71.92,Motel Pokaran - RTDC
100,Kokoda,PG,72.41,few clouds,-8.88,147.74,Daito Guest House
101,Kalabo,ZM,63.95,overcast clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
102,San Felipe,VE,82.08,moderate rain,10.34,-68.74,Posada Llovizna Rodríguez
103,Avarua,CK,80.6,clear sky,-21.21,-159.78,Paradise Inn
104,Inhambane,MZ,68.0,clear sky,-23.86,35.38,MHL Turismo SA
105,Faanui,PF,81.09,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Along,IN,65.73,broken clouds,28.17,94.77,Hotel West
107,Fairbanks,US,75.99,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
111,Moramanga,MG,63.95,broken clouds,-18.93,48.2,Espace VANILLA
112,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
113,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
114,Sakakah,SA,86.0,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
116,Nichinan,JP,64.0,light rain,31.6,131.37,Guest House Aki
117,Yellowknife,CA,62.01,few clouds,62.46,-114.35,The Explorer Hotel
120,Guerrero Negro,MX,74.01,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
121,Quzhou,CN,66.94,overcast clouds,28.96,118.87,Quzhou Jiujiu Business Hotel
124,Teluk Nibung,ID,76.3,overcast clouds,3.0,99.82,PONDOK FELISHA JUICE
125,Santa Maria,BR,68.67,overcast clouds,-29.68,-53.81,Hotel Morotin
128,Gat,IL,70.0,clear sky,31.61,34.76,רגע בנחת
129,Andrelandia,BR,61.41,clear sky,-21.74,-44.31,Mônica Hotel
132,Laguna,US,75.99,overcast clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
134,Kudahuvadhoo,MV,83.1,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
138,Cikarang,ID,80.6,haze,-6.26,107.15,Java Palace Hotel
140,Thompson,CA,64.4,few clouds,55.74,-97.86,Burntwood Hotel
145,Touros,BR,77.0,light rain,-5.2,-35.46,INN NEW HORIZON
146,Antalaha,MG,74.43,moderate rain,-14.9,50.28,Hotel Vitasoa
147,Les Cayes,HT,83.34,light rain,18.2,-73.75,Villa Orphee
148,Salinas,US,69.01,light rain,36.68,-121.66,Good Nite Inn Salinas Monterey
149,Tehachapi,US,69.01,clear sky,35.13,-118.45,Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St.
151,Samarai,PG,80.96,light rain,-10.62,150.67,Nuli Sapi
152,Roches Noires,PG,80.96,light rain,-10.62,150.67,Nuli Sapi
153,Hamilton,US,75.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
154,Zhezkazgan,KZ,74.55,clear sky,47.8,67.71,Kvartiry Posutochno.
155,Zemio,CF,71.01,moderate rain,5.03,25.14,
157,Cabedelo,BR,82.4,few clouds,-6.98,-34.83,Lua Mansa Pousada
158,Katobu,ID,76.64,overcast clouds,-4.94,122.53,La Ode Gombe
159,Findlay,US,69.8,broken clouds,41.04,-83.65,Drury Inn & Suites Findlay
160,Kiunga,PG,73.51,moderate rain,-6.12,141.29,Airport Lodge Kiunga
163,Paita,PE,80.6,clear sky,-5.09,-81.11,Hotel Náutico de Paita
164,Antofagasta,CL,68.0,scattered clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
165,Yarmouth,US,70.0,clear sky,41.71,-70.23,The Inn At Cape Cod
166,Manta,EC,84.2,broken clouds,-0.95,-80.73,Balandra Hotel
167,Calama,CL,60.8,scattered clouds,-22.47,-68.93,Park Hotel Calama
168,Cidreira,BR,66.61,overcast clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
170,Sao Filipe,CV,75.63,clear sky,14.9,-24.5,Tortuga B&B
171,Miranorte,CV,75.63,clear sky,14.9,-24.5,Tortuga B&B
172,Dingle,PH,77.76,clear sky,11.0,122.67,Camp Pasica
173,Nizhneyansk,PH,77.76,clear sky,11.0,122.67,Camp Pasica
174,Hilo,US,78.01,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
