City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2020-05-27 20:31:16,20.89,-156.47,87.8,48,40,8.05
1,Mataura,NZ,2020-05-27 20:32:19,-46.19,168.86,37.76,86,0,1.88
2,Pevek,RU,2020-05-27 20:32:19,69.7,170.31,37.96,76,100,15.86
3,Gardone Val Trompia,IT,2020-05-27 20:32:20,45.69,10.19,69.8,49,5,2.24
4,Bredasdorp,ZA,2020-05-27 20:32:20,-34.53,20.04,55.4,58,0,6.93
5,Upernavik,GL,2020-05-27 20:32:21,72.79,-56.15,29.52,97,97,2.06
6,Codrington,AU,2020-05-27 20:32:21,-38.27,141.97,49.98,93,80,6.93
7,Hervey Bay,AU,2020-05-27 20:32:21,-25.3,152.85,55.0,85,23,3.0
8,Ushuaia,AR,2020-05-27 20:27:25,-54.8,-68.3,41.0,75,96,3.36
9,Nanortalik,GL,2020-05-27 20:29:03,60.14,-45.24,37.94,82,48,8.1
10,Totskoye,RU,2020-05-27 20:32:22,52.52,52.76,61.2,92,6,9.24
11,Yellowknife,CA,2020-05-27 20:31:22,62.46,-114.35,51.8,21,20,4.7
12,Nueve De Julio,AR,2020-05-27 20:32:23,-35.44,-60.88,70.0,47,0,4.0
13,Ratne,UA,2020-05-27 20:32:23,51.67,24.53,50.23,89,52,7.47
14,Pecos,US,2020-05-27 20:32:23,31.42,-103.49,96.8,11,1,9.17
15,Zharkent,KZ,2020-05-27 20:32:23,44.16,80.0,72.91,28,0,7.07
16,Busselton,AU,2020-05-27 20:32:24,-33.65,115.33,55.99,87,31,13.11
17,Isiro,CD,2020-05-27 20:29:05,2.77,27.62,73.81,81,99,1.99
18,Saint George,US,2020-05-27 20:32:24,37.1,-113.58,100.0,11,1,4.7
19,Rikitea,PF,2020-05-27 20:32:25,-23.12,-134.97,76.26,82,23,10.87
20,Grand Forks,US,2020-05-27 20:28:45,47.93,-97.03,80.6,26,75,21.92
21,Rafai,CF,2020-05-27 20:32:25,4.95,23.92,71.82,88,97,2.35
22,Babati,TZ,2020-05-27 20:32:25,-4.22,35.75,61.41,92,51,2.48
23,Jamestown,US,2020-05-27 20:31:18,42.1,-79.24,82.0,47,1,12.75
24,Kapaa,US,2020-05-27 20:32:26,22.08,-159.32,80.6,65,20,11.41
25,Havre-Saint-Pierre,CA,2020-05-27 20:32:26,50.23,-63.6,55.4,43,75,10.29
26,Sidhi,IN,2020-05-27 20:32:26,24.42,81.88,90.73,23,63,3.2
27,Faridpur,BD,2020-05-27 20:32:27,23.6,89.83,75.2,88,90,3.36
28,Egvekinot,RU,2020-05-27 20:32:27,66.32,-179.17,33.28,99,100,5.03
29,Mar Del Plata,AR,2020-05-27 20:32:28,-38.0,-57.56,64.0,63,0,10.29
30,Hofn,IS,2020-05-27 20:32:28,64.25,-15.21,48.2,81,75,26.4
31,Albany,US,2020-05-27 20:32:15,42.6,-73.97,87.01,46,100,9.13
32,Bati,ET,2020-05-27 20:32:29,11.18,40.02,74.73,32,0,6.17
33,Hilo,US,2020-05-27 20:30:06,19.73,-155.09,82.4,58,75,3.36
34,Barrow,US,2020-05-27 20:31:58,71.29,-156.79,30.2,92,90,2.42
35,Coihaique,CL,2020-05-27 20:32:30,-45.58,-72.07,48.2,70,75,4.7
36,Airai,TL,2020-05-27 20:32:30,-8.93,125.41,59.79,100,0,1.95
37,Namatanai,PG,2020-05-27 20:32:31,-3.67,152.43,80.47,80,100,6.35
38,Boa Vista,BR,2020-05-27 20:32:31,2.82,-60.67,86.0,62,75,3.36
39,New Norfolk,AU,2020-05-27 20:32:31,-42.78,147.06,48.99,79,72,1.01
40,Pasni,PK,2020-05-27 20:32:32,25.26,63.47,86.63,74,41,21.43
41,Ancud,CL,2020-05-27 20:32:32,-41.87,-73.82,55.0,71,0,3.36
42,Tongren,CN,2020-05-27 20:32:32,27.72,109.19,66.45,80,100,1.34
43,Port-Gentil,GA,2020-05-27 20:32:32,-0.72,8.78,80.6,88,40,12.75
44,Saskylakh,RU,2020-05-27 20:32:33,71.92,114.08,30.33,90,0,13.89
45,Tautira,PF,2020-05-27 20:32:33,-17.73,-149.15,86.0,70,20,6.93
46,Cabo San Lucas,MX,2020-05-27 20:30:12,22.89,-109.91,84.2,44,5,10.29
47,Phangnga,TH,2020-05-27 20:32:34,8.45,98.53,80.6,88,20,2.15
48,Butaritari,KI,2020-05-27 20:32:34,3.07,172.79,82.04,78,87,13.35
49,Kalabo,ZM,2020-05-27 20:32:34,-14.97,22.68,63.54,44,83,5.86
50,Punta Arenas,CL,2020-05-27 20:32:35,-53.15,-70.92,41.0,80,100,10.29
51,Seguela,CI,2020-05-27 20:32:35,7.96,-6.67,76.73,85,64,0.56
52,Los Llanos De Aridane,ES,2020-05-27 20:32:35,28.66,-17.92,75.0,83,40,9.17
53,Gorontalo,ID,2020-05-27 20:32:36,0.54,123.06,74.93,87,5,2.28
54,Fortuna,US,2020-05-27 20:32:36,40.6,-124.16,62.01,87,20,10.29
55,Esperance,AU,2020-05-27 20:32:36,-33.87,121.9,51.8,81,0,13.87
56,Bluff,NZ,2020-05-27 20:32:36,-46.6,168.33,42.51,83,2,4.81
57,Sao Filipe,CV,2020-05-27 20:32:37,14.9,-24.5,75.65,69,75,9.84
58,Cape Town,ZA,2020-05-27 20:29:08,-33.93,18.42,57.0,71,75,13.87
59,Porto Santo,PT,2020-05-27 20:32:37,33.07,-16.34,64.4,77,20,9.17
60,Ngong,KE,2020-05-27 20:32:38,-1.36,36.66,68.0,72,75,11.41
61,Tupik,RU,2020-05-27 20:32:38,54.43,119.93,54.16,85,100,4.9
62,Mehamn,NO,2020-05-27 20:32:38,71.04,27.85,43.83,82,92,7.99
63,Cochrane,CA,2020-05-27 20:27:41,51.18,-114.47,57.99,26,20,11.41
64,Lavrentiya,RU,2020-05-27 20:32:39,65.58,-171.0,33.82,94,100,11.97
65,Georgetown,MY,2020-05-27 20:32:30,5.41,100.34,80.6,100,20,2.24
66,Port Alfred,ZA,2020-05-27 20:32:39,-33.59,26.89,53.01,59,32,4.0
67,Souillac,MU,2020-05-27 20:32:40,-20.52,57.52,75.2,83,40,11.41
68,Talnakh,RU,2020-05-27 20:32:40,69.49,88.4,33.8,94,90,6.71
69,Maine-Soroa,NE,2020-05-27 20:32:40,13.21,12.02,90.68,12,6,6.24
70,Avarua,CK,2020-05-27 20:32:41,-21.21,-159.78,78.8,69,14,8.05
71,Kodiak,US,2020-05-27 20:32:41,57.79,-152.41,50.0,76,90,11.41
72,Mpulungu,ZM,2020-05-27 20:32:41,-8.76,31.11,74.93,58,26,4.94
73,Havoysund,NO,2020-05-27 20:32:41,71.0,24.66,44.6,81,75,4.7
74,Vanavara,RU,2020-05-27 20:32:32,60.34,102.28,33.78,90,55,6.53
75,Bengkulu,ID,2020-05-27 20:32:42,-3.8,102.27,76.3,84,100,5.79
76,Iqaluit,CA,2020-05-27 20:30:11,63.75,-68.51,26.6,73,90,14.99
77,Bandarbeyla,SO,2020-05-27 20:32:35,9.49,50.81,81.18,74,99,9.17
78,Bayangol,RU,2020-05-27 20:32:43,50.7,103.47,35.92,81,99,2.21
79,Jacareacanga,BR,2020-05-27 20:32:43,-6.22,-57.75,87.8,66,20,3.36
80,Cidreira,BR,2020-05-27 20:32:43,-30.18,-50.21,56.32,69,0,6.82
81,Ilulissat,GL,2020-05-27 20:30:35,69.22,-51.1,35.6,64,75,4.7
82,Pringsewu,ID,2020-05-27 20:32:44,-5.36,104.97,73.85,92,100,2.15
83,Paulista,BR,2020-05-27 20:32:44,-7.94,-34.87,84.2,74,40,6.93
84,Bambous Virieux,MU,2020-05-27 20:32:45,-20.34,57.76,75.2,83,40,11.41
85,Khatanga,RU,2020-05-27 20:32:44,71.97,102.5,30.47,90,95,10.85
86,Halifax,CA,2020-05-27 20:29:51,44.65,-63.57,78.01,51,99,1.99
87,Sandviken,SE,2020-05-27 20:32:45,60.62,16.77,48.99,67,2,1.01
88,Cristalina,BR,2020-05-27 20:31:19,-16.77,-47.61,57.15,70,0,3.33
89,Saint-Philippe,RE,2020-05-27 20:32:46,-21.36,55.77,71.6,72,20,5.82
90,Dikson,RU,2020-05-27 20:32:46,73.51,80.55,31.98,99,100,11.21
91,Hobart,AU,2020-05-27 20:32:47,-42.88,147.33,50.0,87,20,8.05
92,Mnogovershinnyy,RU,2020-05-27 20:32:47,53.94,139.92,36.7,92,100,3.31
93,Fort Smith,US,2020-05-27 20:29:55,35.39,-94.4,73.99,77,40,8.05
94,Maniitsoq,GL,2020-05-27 20:32:48,65.42,-52.9,33.57,90,7,14.83
95,Touros,BR,2020-05-27 20:32:06,-5.2,-35.46,84.2,74,20,11.41
96,Espoo,FI,2020-05-27 20:32:48,60.25,24.67,57.0,71,100,5.82
97,Hithadhoo,MV,2020-05-27 20:30:24,-0.6,73.08,84.38,73,68,7.81
98,Lebu,CL,2020-05-27 20:32:49,-37.62,-73.65,54.59,67,0,21.18
99,Klaksvik,FO,2020-05-27 20:32:49,62.23,-6.59,48.2,87,25,5.82
100,Gazli,UZ,2020-05-27 20:32:49,40.13,63.45,90.14,13,0,12.97
101,Tomatlan,MX,2020-05-27 20:32:50,19.93,-105.25,86.54,47,0,10.65
102,Villarrica,PY,2020-05-27 20:32:50,-25.75,-56.43,62.01,75,0,3.24
103,Flin Flon,CA,2020-05-27 20:32:50,54.77,-101.86,50.0,100,90,10.29
104,Ishigaki,JP,2020-05-27 20:32:51,24.34,124.16,78.3,85,16,8.68
105,Carnarvon,AU,2020-05-27 20:32:51,-24.87,113.63,62.98,50,0,12.64
106,Chuy,UY,2020-05-27 20:32:51,-33.7,-53.46,53.67,78,0,5.44
107,Sorland,NO,2020-05-27 20:32:51,67.67,12.69,42.8,81,75,18.34
108,Nikolskoye,RU,2020-05-27 20:32:52,59.7,30.79,55.4,58,5,4.47
109,Bethel,US,2020-05-27 20:29:37,41.37,-73.41,82.0,57,1,12.75
110,Kavieng,PG,2020-05-27 20:32:52,-2.57,150.8,83.26,75,84,11.72
111,Tiksi,RU,2020-05-27 20:32:37,71.69,128.87,28.09,95,97,6.6
112,Badajoz,ES,2020-05-27 20:32:53,38.67,-6.17,82.0,35,54,1.99
113,Tuktoyaktuk,CA,2020-05-27 20:32:53,69.45,-133.04,35.6,69,20,10.29
114,Shache,CN,2020-05-27 20:32:53,38.42,77.24,72.27,19,0,4.85
115,Buchanan,LR,2020-05-27 20:32:54,5.88,-10.05,80.51,82,96,7.52
116,Vaini,TO,2020-05-27 20:32:54,-21.2,-175.2,73.4,94,75,2.24
117,Berlevag,NO,2020-05-27 20:32:54,70.86,29.09,41.0,86,40,3.36
118,Hermanus,ZA,2020-05-27 20:32:54,-34.42,19.23,54.0,71,10,11.01
119,Dukat,RU,2020-05-27 20:32:55,62.55,155.55,28.87,95,10,7.96
120,Ponta Do Sol,PT,2020-05-27 20:32:55,32.67,-17.1,66.2,82,20,3.36
121,Puerto Ayora,EC,2020-05-27 20:31:05,-0.74,-90.35,80.6,69,20,13.87
122,Ribeira Grande,PT,2020-05-27 20:32:55,38.52,-28.7,64.4,63,40,16.11
123,East London,ZA,2020-05-27 20:32:41,-33.02,27.91,57.74,38,5,11.18
124,Arraial Do Cabo,BR,2020-05-27 20:32:56,-22.97,-42.03,71.6,64,20,20.8
125,Rawson,AR,2020-05-27 20:32:45,-43.3,-65.1,54.19,44,96,6.46
126,Pozo Colorado,PY,2020-05-27 20:32:56,-23.49,-58.8,68.79,49,0,4.41
127,Izhma,RU,2020-05-27 20:32:57,65.01,53.91,50.52,84,100,3.47
128,Flinders,AU,2020-05-27 20:32:57,-34.58,150.86,54.0,91,16,1.01
129,Kirakira,SB,2020-05-27 20:32:58,-10.45,161.92,82.17,80,18,9.28
130,Karasjok,NO,2020-05-27 20:32:58,69.47,25.51,46.4,75,100,2.24
131,San Patricio,MX,2020-05-27 20:32:58,19.22,-104.7,82.4,83,20,11.41
132,Chokurdakh,RU,2020-05-27 20:32:59,70.63,147.92,54.36,40,8,16.93
133,Ternate,ID,2020-05-27 20:32:59,0.8,127.4,80.98,78,97,7.74
134,Pundaguitan,PH,2020-05-27 20:32:59,6.37,126.17,83.75,73,92,4.63
135,Warragul,AU,2020-05-27 20:33:00,-38.17,145.93,50.0,93,71,1.01
136,Srednekolymsk,RU,2020-05-27 20:33:00,67.45,153.68,53.1,39,0,21.61
137,Muros,ES,2020-05-27 20:33:00,42.78,-9.06,80.01,61,0,4.7
138,Portales,US,2020-05-27 20:33:00,34.19,-103.33,89.01,17,40,6.93
139,Dunedin,NZ,2020-05-27 20:29:03,-45.87,170.5,46.99,92,0,1.99
140,Cullinan,ZA,2020-05-27 20:33:01,-25.67,28.52,45.0,56,13,7.49
141,Sitka,US,2020-05-27 20:33:01,57.05,-135.33,55.4,54,20,5.82
142,Pishin,PK,2020-05-27 20:31:20,30.58,67.0,71.1,21,0,1.05
143,Pangnirtung,CA,2020-05-27 20:33:02,66.15,-65.71,30.2,74,90,18.34
144,Hurghada,EG,2020-05-27 20:30:06,27.26,33.81,84.2,18,0,11.41
145,Lucapa,AO,2020-05-27 20:33:02,-8.42,20.74,77.83,46,67,3.09
146,Alta Gracia,AR,2020-05-27 20:33:03,-31.65,-64.43,78.01,31,0,13.87
147,Hami,CN,2020-05-27 20:33:03,42.8,93.45,71.73,22,1,3.42
148,Stornoway,GB,2020-05-27 20:33:03,58.21,-6.39,50.0,87,75,5.82
149,Shu,KZ,2020-05-27 20:32:33,43.6,73.76,66.4,50,0,6.82
150,Oktyabrskoye,RU,2020-05-27 20:30:11,43.06,44.74,57.2,93,75,6.71
151,San Juan Bautista,PE,2020-05-27 20:33:04,-14.01,-75.74,69.8,68,20,9.17
152,Juxtlahuaca,MX,2020-05-27 20:33:04,17.43,-99.15,96.42,12,2,10.94
153,Baturaja,ID,2020-05-27 20:33:04,-4.13,104.17,73.72,94,100,1.57
154,Colares,PT,2020-05-27 20:33:05,38.8,-9.45,77.0,47,0,10.29
155,Padang,ID,2020-05-27 20:33:05,-0.95,100.35,79.57,73,100,3.31
156,Port Elizabeth,ZA,2020-05-27 20:33:05,-33.92,25.57,50.0,66,29,6.93
157,Conde,BR,2020-05-27 20:33:05,-7.26,-34.91,80.6,83,20,5.82
158,Tasiilaq,GL,2020-05-27 20:33:06,65.61,-37.64,37.4,85,38,5.82
159,Alyangula,AU,2020-05-27 20:33:06,-13.85,136.42,57.2,100,0,8.84
160,Maraa,BR,2020-05-27 20:33:06,-1.83,-65.37,80.11,93,98,0.38
161,Campbell River,CA,2020-05-27 20:32:01,50.02,-125.24,64.4,48,75,3.36
162,Remontnoye,RU,2020-05-27 20:33:07,46.56,43.65,62.6,77,0,11.18
163,Kupang,ID,2020-05-27 20:33:07,-10.17,123.58,76.96,85,14,3.8
164,Olafsvik,IS,2020-05-27 20:33:07,64.89,-23.71,45.81,90,100,29.33
165,Provideniya,RU,2020-05-27 20:33:08,64.38,-173.3,33.8,100,90,15.66
166,Siniscola,IT,2020-05-27 20:33:08,40.57,9.69,60.8,59,0,5.82
167,Puerto Leguizamo,CO,2020-05-27 20:33:08,-0.19,-74.78,83.41,68,41,1.95
168,Thompson,CA,2020-05-27 20:33:09,55.74,-97.86,46.4,87,90,13.87
169,San Policarpo,PH,2020-05-27 20:33:09,12.18,125.51,82.17,82,5,9.13
170,San Jeronimo,PE,2020-05-27 20:33:09,-11.95,-75.28,61.65,32,41,3.44
171,Mecca,SA,2020-05-27 20:30:49,21.43,39.83,91.63,19,3,4.27
172,Kailua,US,2020-05-27 20:33:10,21.4,-157.74,82.4,65,90,8.05
173,Ossora,RU,2020-05-27 20:33:04,59.24,163.07,34.81,92,77,5.21
174,Bambanglipuro,ID,2020-05-27 20:33:10,-7.95,110.28,75.09,83,100,1.9
175,Maungaturoto,NZ,2020-05-27 20:33:11,-36.1,174.37,52.0,99,16,7.07
176,Constitucion,CL,2020-05-27 20:33:11,-35.33,-72.42,57.79,85,69,3.74
177,Ulaangom,MN,2020-05-27 20:32:49,49.98,92.07,45.16,52,87,7.58
178,Ayagoz,KZ,2020-05-27 20:33:12,47.97,80.44,46.89,64,0,20.65
179,Praia Da Vitoria,PT,2020-05-27 20:33:12,38.73,-27.07,66.2,77,20,17.87
180,Tuatapere,NZ,2020-05-27 20:33:12,-46.13,167.68,42.55,72,0,3.09
181,Qaanaaq,GL,2020-05-27 20:33:12,77.48,-69.36,30.88,94,97,7.96
182,Beloha,MG,2020-05-27 20:33:13,-25.17,45.05,69.35,78,100,5.03
183,Lillooet,CA,2020-05-27 20:33:13,50.69,-121.94,73.4,27,1,5.82
184,Nanga Eboko,CM,2020-05-27 20:33:13,4.68,12.37,70.99,97,100,2.15
185,Semnan,IR,2020-05-27 20:33:14,35.57,53.4,79.59,23,36,3.15
186,Kattivakkam,IN,2020-05-27 20:33:14,13.22,80.32,87.8,84,40,6.93
187,Rio Grande,BR,2020-05-27 20:32:59,-32.03,-52.1,64.4,59,0,9.17
188,Inhambane,MZ,2020-05-27 20:33:15,-23.86,35.38,65.86,76,0,11.3
189,New Baltimore,US,2020-05-27 20:33:15,42.68,-82.74,79.0,78,75,10.29
190,Saldanha,ZA,2020-05-27 20:33:15,-33.01,17.94,55.4,82,41,3.36
191,Geraldton,AU,2020-05-27 20:33:15,-28.77,114.6,60.8,77,90,10.29
192,Yulara,AU,2020-05-27 20:33:16,-25.24,130.99,46.4,75,4,5.82
193,Meadow Lake,US,2020-05-27 20:33:16,34.8,-106.54,90.0,14,20,8.05
194,Verkh-Chebula,RU,2020-05-27 20:33:16,56.03,87.62,39.16,84,37,7.16
195,Jizan,SA,2020-05-27 20:33:17,17.33,42.67,91.4,46,40,9.17
196,Isabela,PH,2020-05-27 20:33:17,6.71,121.97,80.26,82,100,3.53
197,Swan River,CA,2020-05-27 20:33:17,52.11,-101.27,60.06,52,79,25.08
198,Naze,JP,2020-05-27 20:33:17,28.37,129.48,73.4,78,55,9.17
199,Coquimbo,CL,2020-05-27 20:33:18,-29.95,-71.34,60.8,63,97,11.41
200,Norman Wells,CA,2020-05-27 20:33:18,65.28,-126.83,62.6,39,20,17.22
201,Oranjestad,AW,2020-05-27 20:29:45,12.52,-70.03,86.0,74,20,24.16
202,Namie,JP,2020-05-27 20:33:18,37.48,141.0,62.01,80,98,5.12
203,Ruteng,ID,2020-05-27 20:33:19,-8.61,120.47,63.48,100,8,1.03
204,Pyu,MM,2020-05-27 20:33:19,18.48,96.43,78.51,88,56,3.04
205,Kuala Selangor,MY,2020-05-27 20:33:19,3.35,101.25,80.6,88,20,5.37
206,Baillif,GP,2020-05-27 20:33:19,16.02,-61.75,87.8,62,75,11.41
207,Bathsheba,BB,2020-05-27 20:33:20,13.22,-59.52,86.0,70,20,16.11
208,Castro,BR,2020-05-27 20:33:20,-24.79,-50.01,52.09,75,0,3.09
